ds,y,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-10-28,144.45666666666665,8.066792933544725,142.67371062474876,144.62803477580573,8.066792933544725,8.066792933544725,135.58997081747628,135.58997081747628,135.58997081747628,129.06467597881274,129.06467597881274,129.06467597881274,6.525294838663513,6.525294838663513,6.525294838663513,0.0,0.0,0.0,143.656763751021
2019-10-29,143.32666666666668,8.190783240980116,142.33666443207156,144.29679256257245,8.190783240980116,8.190783240980116,135.14611079012346,135.14611079012346,135.14611079012346,129.0646759788128,129.0646759788128,129.0646759788128,6.081434811310674,6.081434811310674,6.081434811310674,0.0,0.0,0.0,143.33689403110358
2019-10-30,144.13333333333333,8.314773548415506,142.58337966985445,144.53842943795445,8.314773548415506,8.314773548415506,135.23893826537244,135.23893826537244,135.23893826537244,129.0646759788128,129.0646759788128,129.0646759788128,6.174262286559625,6.174262286559625,6.174262286559625,0.0,0.0,0.0,143.55371181378794
2019-10-31,143.76333333333335,8.438763854721572,143.07204742458273,144.95772535847132,8.438763854721572,8.438763854721572,135.53964130659676,135.53964130659676,135.53964130659676,129.0646759788128,129.0646759788128,129.0646759788128,6.474965327783966,6.474965327783966,6.474965327783966,0.0,0.0,0.0,143.97840516131834
2019-11-01,143.70166666666668,8.562754160971718,143.697499389917,145.69826567673167,8.562754160971718,8.562754160971718,136.07489207169004,136.07489207169004,136.07489207169004,129.06467597881277,129.06467597881277,129.06467597881277,7.01021609287727,7.01021609287727,7.01021609287727,0.0,0.0,0.0,144.63764623266175
2019-11-04,144.57,8.934725079722158,143.53133848603105,145.50301127867905,8.934725079722158,8.934725079722158,135.58997081749223,135.58997081749223,135.58997081749223,129.06467597881277,129.06467597881277,129.06467597881277,6.525294838679468,6.525294838679468,6.525294838679468,0.0,0.0,0.0,144.5246958972144
2019-11-05,144.46166666666667,9.058744575592442,143.23294695067798,145.17469833367264,9.058744575592442,9.058744575592442,135.14611079011655,135.14611079011655,135.14611079011655,129.06467597881277,129.06467597881277,129.06467597881277,6.081434811303772,6.081434811303772,6.081434811303772,0.0,0.0,0.0,144.204855365709
2019-11-06,143.92666666666668,9.182764071462728,143.40031528232882,145.36546725198758,9.182764071462728,9.182764071462728,135.23893826537275,135.23893826537275,135.23893826537275,129.0646759788128,129.0646759788128,129.0646759788128,6.1742622865599355,6.1742622865599355,6.1742622865599355,0.0,0.0,0.0,144.4217023368355
2019-11-07,144.3033333333333,9.308551285520522,143.79808494691147,145.83776568249422,9.308551285520522,9.308551285520522,135.5396413065994,135.5396413065994,135.5396413065994,129.06467597881274,129.06467597881274,129.06467597881274,6.474965327786651,6.474965327786651,6.474965327786651,0.0,0.0,0.0,144.84819259211991
2019-11-08,145.23666666666668,9.715669233491889,144.78707652934267,146.77007965974403,9.715669233491889,9.715669233491889,136.0748920717244,136.0748920717244,136.0748920717244,129.0646759788128,129.0646759788128,129.0646759788128,7.010216092911617,7.010216092911617,7.010216092911617,0.0,0.0,0.0,145.7905613052163
2019-11-11,145.75333333333333,10.937023077405993,145.63361487968152,147.53325653228515,10.937023077405993,10.937023077405993,135.5899708175082,135.5899708175082,135.5899708175082,129.06467597881277,129.06467597881277,129.06467597881277,6.525294838695427,6.525294838695427,6.525294838695427,0.0,0.0,0.0,146.5269938949142
2019-11-12,146.9,11.344141025086111,145.48202932753554,147.5291168944814,11.344141025086111,11.344141025086111,135.14611079010967,135.14611079010967,135.14611079010967,129.0646759788128,129.0646759788128,129.0646759788128,6.081434811296876,6.081434811296876,6.081434811296876,0.0,0.0,0.0,146.4902518151958
2019-11-13,147.0175,11.751258973746841,145.99672871453268,147.99187603792166,11.751258973746841,11.751258973746841,135.2389382653726,135.2389382653726,135.2389382653726,129.0646759788128,129.0646759788128,129.0646759788128,6.174262286559814,6.174262286559814,6.174262286559814,0.0,0.0,0.0,146.99019723911945
2019-11-14,147.82333333333332,12.158376922407573,146.6845718956867,148.7121605467164,12.158376922407573,12.158376922407573,135.53964130658395,135.53964130658395,135.53964130658395,129.06467597881274,129.06467597881274,129.06467597881274,6.474965327771211,6.474965327771211,6.474965327771211,0.0,0.0,0.0,147.69801822899151
2019-11-15,149.41,12.565494871008285,147.69484404524022,149.66869843454194,12.565494871008285,12.565494871008285,136.07489207170838,136.07489207170838,136.07489207170838,129.0646759788128,129.0646759788128,129.0646759788128,7.010216092895599,7.010216092895599,7.010216092895599,0.0,0.0,0.0,148.64038694271667
2019-11-18,149.95666666666668,13.786848716810423,148.3977244901958,150.40715709926224,13.786848716810423,13.786848716810423,135.58997081752418,135.58997081752418,135.58997081752418,129.06467597881277,129.06467597881277,129.06467597881277,6.525294838711383,6.525294838711383,6.525294838711383,0.0,0.0,0.0,149.3768195343346
2019-11-19,150.63833333333332,14.193072562189641,148.30712516482734,150.32725148758908,14.193072562189641,14.193072562189641,135.14611079012542,135.14611079012542,135.14611079012542,129.0646759788128,129.0646759788128,129.0646759788128,6.081434811312646,6.081434811312646,6.081434811312646,0.0,0.0,0.0,149.33918335231505
2019-11-20,149.64000000000001,14.393895387123527,148.665918914265,150.68146503713467,14.393895387123527,14.393895387123527,135.23893826537275,135.23893826537275,135.23893826537275,129.0646759788128,129.0646759788128,129.0646759788128,6.174262286559971,6.174262286559971,6.174262286559971,0.0,0.0,0.0,149.6328336524963
